frame,state,src,err,curv,speed,steer,light_phase,light,light_area
84,STOP_LIGHT,center,0.0433,0.0319,0.0,0.38,STOP,red,217
85,STOP_LIGHT,center,-0.0418,0.0434,0.0,0.38,STOP,red,214
86,STOP_LIGHT,center,-0.0305,0.0629,0.0,0.38,STOP,red,214
87,STOP_LIGHT,center,-0.0423,0.0756,0.0,0.38,STOP,red,214
88,STOP_LIGHT,center,-0.0424,0.0718,0.0,0.38,STOP,red,213
89,STOP_LIGHT,center,-0.0303,0.0693,0.0,0.38,STOP,red,214
90,STOP_LIGHT,center,-0.0425,0.0798,0.0,0.38,STOP,red,216
91,STOP_LIGHT,center,-0.0423,0.0866,0.0,0.38,STOP,red,218
92,STOP_LIGHT,center,-0.0404,0.0893,0.0,0.38,STOP,red,216
93,STOP_LIGHT,center,-0.0406,0.0914,0.0,0.38,STOP,red,219
94,STOP_LIGHT,center,-0.0405,0.0927,0.0,0.38,STOP,red,220
95,STOP_LIGHT,center,0.0435,0.0168,0.0,0.38,STOP,red,225
96,STOP_LIGHT,center,-0.0423,0.0335,0.0,0.38,STOP,red,223
97,STOP_LIGHT,center,0.043,-0.0217,0.0,0.38,STOP,red,220
98,STOP_LIGHT,center,-0.0416,0.0085,0.0,0.38,STOP,red,226
99,STOP_LIGHT,center,-0.0435,0.0282,0.0,0.38,STOP,red,224
100,STOP_LIGHT,center,-0.043,0.043,0.0,0.38,STOP,red,242
101,STOP_LIGHT,center,-0.0429,0.0485,0.0,0.38,STOP,red,240
102,STOP_LIGHT,center,-0.0444,0.0792,0.0,0.38,STOP,green,243
103,STOP_LIGHT,center,-0.0406,0.0721,0.0,0.38,STOP,green,240
104,DRIVE,center,0.0056,0.016,0.05,-1.57,GO,green,250
105,DRIVE,center,-0.0174,0.0023,0.1,1.09,GO,green,278
106,DRIVE,center,0.0033,0.0019,0.15,-0.72,GO,green,295
107,DRIVE,center,-0.0569,0.024,0.2,2.93,GO,green,336
108,DRIVE,center,-0.0398,0.0491,0.25,-0.05,GO,green,317
109,DRIVE,center,-0.0729,0.0775,0.3,1.97,GO,green,0
110,DRIVE,center,-0.012,0.0829,0.35,-2.37,GO,green,0
111,DRIVE,center,-0.0278,0.0643,0.4,0.5,GO,green,0
112,DRIVE,center,-0.0285,0.0425,0.45,0.28,GO,green,0
113,DRIVE,center,-0.0338,0.0569,0.5,0.4,GO,None,0
114,DRIVE,center,-0.0283,0.0696,0.545,-0.18,GO,None,0
115,DRIVE,center,-0.0651,0.0747,0.535,1.92,GO,None,0
116,DRIVE,center,-0.0298,0.0371,0.568,-0.72,GO,None,0
117,DRIVE,center,0.0048,0.0236,0.582,-1.39,GO,None,0
118,DRIVE,center,0.0033,0.0156,0.588,-0.19,GO,None,0
119,DRIVE,center,0.0122,-0.0213,0.583,-0.34,GO,None,0
120,DRIVE,center,0.0122,-0.0453,0.565,0.16,GO,None,0
121,DRIVE,center,0.0312,-0.0445,0.562,-0.88,GO,None,0
122,DRIVE,center,0.0305,-0.029,0.574,-0.42,GO,None,0
123,DRIVE,center,-0.0052,-0.0416,0.569,1.61,GO,None,0
124,DRIVE,center,-0.0052,-0.0498,0.563,0.62,GO,None,0
125,DRIVE,center,-0.0425,0.0023,0.59,2.11,GO,None,0
126,DRIVE,center,-0.0703,0.0356,0.561,2.16,GO,None,0
127,DRIVE,center,-0.0093,0.0542,0.56,-2.15,GO,None,0
128,DRIVE,center,-0.0281,0.0563,0.555,0.67,GO,None,0
129,DRIVE,center,-0.0007,0.0389,0.572,-1.19,GO,None,0
130,DRIVE,center,0.0678,-0.0032,0.585,-3.65,GO,None,0
131,DRIVE,center,-0.0704,0.0308,0.565,5.35,GO,None,0
132,DRIVE,center,-0.0704,0.053,0.549,1.16,GO,None,0
133,DRIVE,center,-0.0704,0.0674,0.539,1.02,GO,None,0
134,DRIVE,center,0.0025,0.0444,0.568,-2.69,GO,None,0
135,DRIVE,center,0.0025,0.0294,0.579,-0.35,GO,None,0
136,DRIVE,center,-0.0427,0.0418,0.562,1.96,GO,None,0
137,DRIVE,center,-0.0116,0.0624,0.553,-1.28,GO,None,0
138,DRIVE,center,-0.0306,0.0394,0.566,0.91,GO,None,0
139,DRIVE,center,-0.034,0.0254,0.575,0.66,GO,None,0
140,DRIVE,center,-0.0786,0.0435,0.554,2.79,GO,None,0
141,DRIVE,center,0.0049,0.0266,0.58,-2.89,GO,None,0
142,DRIVE,center,-0.0432,0.0522,0.555,1.96,GO,None,0
143,DRIVE,center,-0.0114,0.0796,0.541,-1.48,GO,None,0
144,DRIVE,center,0.0145,0.0187,0.584,-1.31,GO,None,0
145,DRIVE,center,-0.0346,0.0124,0.585,2.18,GO,None,0
146,DRIVE,center,0.024,-0.0083,0.59,-2.25,GO,None,0
147,DRIVE,center,0.0285,-0.0361,0.569,-0.46,GO,None,0
148,DRIVE,center,-0.0147,0.0118,0.589,1.53,GO,None,0
149,DRIVE,center,-0.0145,0.0426,0.567,-0.08,GO,None,0
150,DRIVE,center,0.0299,0.0288,0.574,-2.34,GO,None,0
151,DRIVE,center,0.0299,0.0198,0.58,-0.92,GO,None,0
152,DRIVE,center,0.0141,0.0047,0.594,0.09,GO,None,0
153,DRIVE,center,-0.0089,0.0362,0.573,0.54,GO,None,0
154,DRIVE,center,-0.0949,0.0629,0.537,4.23,GO,None,0
155,DRIVE,center,0.031,0.0397,0.566,-4.77,GO,None,0
156,DRIVE,center,0.0035,0.0255,0.581,0.49,GO,None,0
157,DRIVE,center,0.0407,-0.0288,0.572,-1.81,GO,None,0
158,DRIVE,center,0.0407,-0.0641,0.547,-0.34,GO,None,0
159,DRIVE,center,-0.0729,-0.0417,0.557,5.58,GO,None,0
160,DRIVE,center,-0.0729,-0.0271,0.567,2.02,GO,None,0
161,DRIVE,center,0.0095,-0.0479,0.564,-2.22,GO,None,0
162,DRIVE,center,0.0095,-0.0614,0.554,0.39,GO,None,0
163,DRIVE,center,-0.001,-0.0362,0.574,0.7,GO,None,0
164,DRIVE,center,-0.0122,0.0098,0.591,0.53,GO,None,0
165,DRIVE,center,0.0455,0.0344,0.567,-3.17,GO,None,0
166,DRIVE,center,0.0855,0.012,0.575,-3.37,GO,None,0
167,DRIVE,center,0.1606,0.0211,0.555,-6.32,GO,None,0
168,DRIVE,center,0.2985,0.0102,0.537,-11.4,GO,None,0
169,DRIVE,center,0.2985,0.0031,0.542,-7.19,GO,None,0
170,DRIVE,center,0.4313,-0.0247,0.502,-14.09,GO,None,0
171,DRIVE,center,0.5953,-0.0831,0.429,-18.38,GO,None,0
172,DRIVE,center,0.6415,-0.3398,0.279,-13.38,GO,None,0
173,DRIVE,center,0.6415,-0.5067,0.26,-10.33,GO,None,0
174,DRIVE,center,0.7555,-0.7093,0.26,-14.46,GO,None,0
175,DRIVE,center,0.7529,-0.9832,0.26,-8.16,GO,None,0
176,DRIVE,center,0.3558,-0.8042,0.26,0.84,GO,None,0
177,DRIVE,center,0.3341,-0.6824,0.26,-0.55,GO,None,0
178,DRIVE,center,0.1804,-0.5934,0.26,6.22,GO,None,0
179,DRIVE,center,0.4896,-0.9371,0.26,-2.78,GO,None,0
180,DRIVE,center,0.4563,-1.0462,0.26,0.51,GO,None,0
181,DRIVE,center,0.4455,-1.192,0.26,1.55,GO,None,0
182,DRIVE,center,0.3901,-1.2729,0.26,5.03,GO,None,0
183,DRIVE,center,0.2659,-1.2635,0.26,9.98,GO,None,0
184,DRIVE,center,0.3358,-1.1883,0.26,1.72,GO,None,0
185,DRIVE,center,0.3358,-1.1394,0.26,3.33,GO,None,0
186,DRIVE,center,0.3066,-1.0578,0.26,4.1,GO,None,0
187,DRIVE,center,0.2421,-0.9137,0.26,5.26,GO,None,0
188,DRIVE,center,0.2421,-0.8201,0.26,2.39,GO,None,0
189,DRIVE,center,0.2798,-0.7703,0.26,-0.14,GO,None,0
190,DRIVE,center,0.2917,-0.6992,0.26,-0.37,GO,None,0
191,DRIVE,center,0.2866,-0.5918,0.26,-0.81,GO,None,0
192,DRIVE,center,0.358,-0.519,0.26,-5.54,GO,None,0
193,DRIVE,center,0.3717,-0.4603,0.26,-4.73,GO,None,0
194,DRIVE,center,0.3754,-0.4324,0.26,-4.8,GO,None,0
195,DRIVE,center,0.3852,-0.3961,0.26,-5.57,GO,None,0
196,DRIVE,center,0.3689,-0.3705,0.267,-4.66,GO,None,0
197,DRIVE,center,0.4552,-0.3418,0.271,-10.1,GO,None,0
198,DRIVE,center,0.4531,-0.3456,0.269,-7.35,GO,None,0
199,DRIVE,center,0.5141,-0.3359,0.264,-10.81,GO,None,0
200,DRIVE,center,0.5687,-0.3364,0.26,-11.92,GO,None,0
201,DRIVE,center,0.5687,-0.3367,0.26,-10.28,GO,None,0
202,DRIVE,center,0.5477,-0.317,0.271,-9.35,GO,None,0
203,DRIVE,center,0.5699,-0.3103,0.272,-11.24,GO,None,0
204,DRIVE,center,0.5744,-0.3086,0.272,-10.83,GO,None,0
205,DRIVE,center,0.637,-0.3125,0.26,-14.04,GO,None,0
206,DRIVE,center,0.6413,-0.3077,0.26,-12.44,GO,None,0
207,DRIVE,center,0.6942,-0.3228,0.26,-15.02,GO,None,0
208,DRIVE,center,0.6817,-0.3323,0.26,-12.66,GO,None,0
209,DRIVE,center,0.7278,-0.3505,0.26,-15.34,GO,None,0
210,DRIVE,center,0.7118,-0.3321,0.26,-13.29,GO,None,0
211,DRIVE,center,0.7108,-0.3489,0.26,-13.54,GO,None,0
212,DRIVE,center,0.7492,-0.3561,0.26,-15.57,GO,None,0
213,DRIVE,center,0.7161,-0.3143,0.26,-13.05,GO,None,0
214,DRIVE,center,0.7449,-0.3368,0.26,-15.37,GO,None,0
215,DRIVE,center,0.7358,-0.3088,0.26,-14.3,GO,None,0
216,DRIVE,center,0.7617,-0.3063,0.26,-16.0,GO,None,0
217,DRIVE,center,0.7281,-0.2754,0.267,-13.71,GO,None,0
218,DRIVE,center,0.7644,-0.3522,0.26,-15.91,GO,None,0
219,DRIVE,center,0.7181,-0.4005,0.26,-11.84,GO,None,0
220,DRIVE,center,0.6804,-0.4208,0.26,-10.99,GO,None,0
221,DRIVE,center,0.7167,-0.4512,0.26,-13.78,GO,None,0
222,DRIVE,center,0.7407,-0.4692,0.26,-13.8,GO,None,0
223,DRIVE,center,0.7675,-0.508,0.26,-14.14,GO,None,0
224,DRIVE,center,0.6986,-0.5068,0.26,-9.63,GO,None,0
225,DRIVE,center,0.6986,-0.506,0.26,-11.71,GO,None,0
226,DRIVE,center,0.7401,-0.5314,0.26,-13.69,GO,None,0
227,DRIVE,center,0.6889,-0.5209,0.26,-9.79,GO,None,17
228,DRIVE,center,0.7619,-0.5459,0.26,-15.02,GO,None,0
229,DRIVE,center,0.7619,-0.5621,0.26,-12.67,GO,None,0
230,DRIVE,center,0.7074,-0.5345,0.26,-9.99,GO,None,0
231,DRIVE,center,0.721,-0.5233,0.26,-12.48,GO,None,0
232,DRIVE,center,0.7213,-0.5183,0.26,-12.14,GO,None,0
233,DRIVE,center,0.7103,-0.5201,0.26,-11.52,GO,None,0
234,DRIVE,center,0.6963,-0.5131,0.26,-11.16,GO,None,0
235,DRIVE,center,0.7509,-0.5347,0.26,-14.31,GO,None,0
236,DRIVE,center,0.7148,-0.5215,0.26,-10.86,GO,None,0
237,DRIVE,center,0.7487,-0.5344,0.26,-13.64,GO,None,0
238,DRIVE,center,0.6559,-0.4924,0.26,-8.03,GO,None,0
239,DRIVE,center,0.7534,-0.528,0.26,-15.72,GO,None,0
240,DRIVE,center,0.6891,-0.5396,0.26,-9.21,GO,None,0
241,DRIVE,center,0.6601,-0.5262,0.26,-9.71,GO,None,0
242,DRIVE,center,0.7001,-0.547,0.26,-12.53,GO,None,0
243,DRIVE,center,0.7123,-0.5286,0.26,-12.17,GO,None,0
244,DRIVE,center,0.7166,-0.5222,0.26,-12.11,GO,None,0
245,DRIVE,center,0.6989,-0.5447,0.26,-10.79,GO,None,0
246,DRIVE,center,0.7128,-0.5267,0.26,-12.26,GO,None,0
247,DRIVE,center,0.7471,-0.5419,0.26,-13.54,GO,None,0
248,DRIVE,center,0.7221,-0.5523,0.26,-11.06,GO,None,0
249,DRIVE,center,0.7518,-0.5635,0.26,-13.3,GO,None,0
250,DRIVE,center,0.7564,-0.5755,0.26,-12.54,GO,None,0
251,DRIVE,center,0.7138,-0.5481,0.26,-10.37,GO,None,0
252,DRIVE,center,0.7547,-0.5647,0.26,-13.69,GO,None,0
253,DRIVE,center,0.6766,-0.5415,0.26,-8.48,GO,None,0
254,DRIVE,center,0.7152,-0.5278,0.26,-13.05,GO,None,0
255,DRIVE,center,0.7002,-0.5088,0.26,-11.27,GO,None,0
256,DRIVE,center,0.687,-0.5023,0.26,-11.07,GO,None,0
257,DRIVE,center,0.687,-0.4982,0.26,-11.51,GO,None,0
258,DRIVE,center,0.7069,-0.4887,0.26,-12.67,GO,None,0
259,DRIVE,center,0.6567,-0.4807,0.26,-9.45,GO,None,0
